sourceA,idA,sourceB,idB,overlap,similarity
frick,11489a,frick,11489,39.62,13.90
frick,11489c,frick,11489b,99.82,11.40
frick,11499g,frick,11499e,100.00,12.20
frick,11499e,frick,11499g,35.51,12.90
frick,11499e,frick,11499f,39.45,11.40
frick,11503,frick,11503a,95.42,11.40
frick,11503a,frick,11503,95.47,9.80
frick,11512,frick,8881,100.00,31.80
frick,11511,zeri,43866,98.22,59.10
frick,11519,zeri,54667,100.00,61.20
frick,11519,zeri,54666,98.23,35.70
frick,11519,zeri,54665,98.78,32.20
frick,11520,zeri,43535,100.00,60.00
frick,11533a,frick,11533,100.00,9.41
frick,11545,frick,11545a,100.00,8.63
frick,11556,zeri,51394,99.56,37.30
frick,1156,frick,1217,100.00,98.00
frick,11561,frick,11561a,96.40,34.10
frick,11561a,frick,11561,98.47,31.80
frick,11568,zeri,54645,98.17,53.70
frick,1157,frick,1216,100.00,98.40
frick,1157,frick,8446,99.08,32.90
frick,11575,frick,11739,94.36,31.00
frick,11580,frick,11580a,33.33,8.63
frick,11580a,frick,11580,33.73,8.63
frick,11589i,frick,11589l,28.76,7.48
frick,11589l,frick,11589i,22.10,8.63
frick,11598,zeri,43499,99.34,22.40
frick,11597,frick,12040,100.00,29.80
frick,11599,zeri,48180,64.54,26.30
frick,115b,frick,115a,31.74,11.80
frick,115a,frick,115b,100.00,14.50
frick,11599a,zeri,48181,71.43,14.30
frick,11605,frick,11605b,16.86,9.88
frick,11605,frick,11605a,98.09,9.49
frick,11604,zeri,37969,68.90,35.60
frick,11604,zeri,37968,68.05,28.90
frick,11603,zeri,45717,93.15,51.40
frick,11605a,frick,11605,97.11,10.60
frick,11606a,zeri,55589,99.53,68.20
frick,11606a,frick,11606,100.00,16.50
frick,11605b,frick,11605,100.00,9.02
frick,11606,zeri,55588,100.00,49.80
frick,11606,zeri,55589,48.07,16.50
frick,11606,frick,11606a,45.65,15.70
frick,11618,zeri,44756,90.29,51.80
frick,11622,zeri,43347,100.00,14.10
frick,11622,zeri,43348,100.00,11.40
frick,11624a,zeri,45833,98.91,16.90
frick,11624,zeri,45834,100.00,31.80
frick,11628,frick,37,97.66,9.02
frick,11632,zeri,43373,100.00,7.06
frick,11631,zeri,45743,100.00,12.20
frick,11634,zeri,43536,99.20,14.10
frick,11644,zeri,45872,100.00,29.00
frick,11644a,zeri,45870,98.32,45.90
frick,11649,zeri,44412,99.71,52.20
frick,11648,zeri,87730,100.00,40.80
frick,11650a,zeri,44413,100.00,28.30
frick,11650,zeri,44414,100.00,56.10
frick,11655,zeri,87731,100.00,55.30
frick,11657,zeri,44060,100.00,20.00
frick,11662,frick,11662a,98.24,21.20
frick,11662,zeri,45780,99.73,21.20
frick,11663,zeri,39986,100.00,60.80
frick,11663,zeri,39984,99.99,49.80
frick,11663,zeri,39987,100.00,45.50
frick,11663,zeri,39983,100.00,40.40
frick,11663,frick,11663b,99.05,34.90
frick,11663,frick,11663a,100.00,13.70
frick,11663,frick,11663c,100.00,9.80
frick,11663b,frick,11663,100.00,36.90
frick,11663b,zeri,39986,100.00,35.30
frick,11663b,zeri,39987,100.00,34.10
frick,11663b,zeri,39984,100.00,31.80
frick,11663b,zeri,39983,100.00,31.00
frick,11663b,frick,11663a,100.00,16.50
frick,11663b,frick,11663c,100.00,8.63
frick,11662a,zeri,45780,99.72,61.60
frick,11662a,frick,11662,97.69,21.60
frick,11663a,zeri,39987,68.36,16.50
frick,11663a,frick,11663b,59.51,15.00
frick,11663a,zeri,39984,65.45,15.00
frick,11663a,zeri,39983,69.82,14.60
frick,11663a,frick,11663,63.32,13.40
